,Quarter,Time,Tm,Detail,NOR,STL
0,1.0,13:58,Rams,Torry Holt 25 yard pass from Kurt Warner (Jeff Wilkins kick),0,7
1,1.0,6:37,Saints,Doug Brien 51 yard field goal,3,7
2,2.0,14:56,Saints,Doug Brien 42 yard field goal,6,7
3,2.0,9:08,Saints,Doug Brien 45 yard field goal,9,7
4,2.0,7:15,Rams,Marshall Faulk 1 yard rush (Marshall Faulk run),9,15
5,2.0,0:07,Saints,Doug Brien 35 yard field goal,12,15
6,3.0,3:08,Rams,Marshall Faulk 6 yard rush (Jeff Wilkins kick),12,22
7,4.0,12:15,Rams,Robert Holcombe 3 yard rush (Jeff Wilkins kick),12,29
8,4.0,6:36,Rams,Torry Holt 20 yard pass from Kurt Warner (Jeff Wilkins kick),12,36
9,4.0,1:14,Rams,James Hodgins 1 yard rush (Jeff Wilkins kick),12,43
