,Quarter,Tm,Detail,DTX,DET
0,1.0,Lions,Pat Harder 13 yard field goal,0,3
1,1.0,Lions,Yale Lary 58 yard punt return (Pat Harder kick),0,10
2,2.0,Lions,Bobby Layne 8 yard rush (Pat Harder kick),0,17
3,2.0,Lions,Cloyce Box 65 yard pass from Bobby Layne (Pat Harder kick),0,24
4,2.0,Lions,"Safety, Tripucka tackled in end zone by Gandee",0,26
5,2.0,Lions,Pat Harder 26 yard field goal,0,29
6,3.0,Texans,Ray Pelfrey 13 yard pass from Frank Tripucka (Keith Flowers kick),7,29
7,3.0,Texans,Zollie Toth 4 yard rush,13,29
8,4.0,Lions,Pat Harder 1 yard rush (Pat Harder kick),13,36
9,4.0,Lions,Ollie Cline 2 yard rush (Pat Harder kick),13,43
