,Quarter,Time,Tm,Detail,PHI,SEA
0,1.0,9:19,Seahawks,Rian Lindell 34 yard field goal,0,3
1,1.0,4:53,Seahawks,Rian Lindell 43 yard field goal,0,6
2,1.0,0:13,Eagles,James Thrash 6 yard pass from A.J. Feeley (David Akers kick),7,6
3,2.0,8:59,Eagles,Duce Staley 21 yard rush (David Akers kick),14,6
4,2.0,4:00,Eagles,David Akers 33 yard field goal,17,6
5,2.0,0:08,Eagles,David Akers 40 yard field goal,20,6
6,3.0,9:51,Eagles,Todd Pinkston 20 yard pass from A.J. Feeley (David Akers kick),27,6
7,3.0,2:04,Seahawks,Koren Robinson 8 yard pass from Matt Hasselbeck (Rian Lindell kick),27,13
8,4.0,0:45,Seahawks,Jerramy Stevens 11 yard pass from Matt Hasselbeck (Rian Lindell kick),27,20
