,Quarter,Tm,Detail,WAS,DET
0,1.0,Lions,Kelley Mote 46 yard pass from Clyde LeForce (Roy Zimmerman kick),0,7
1,1.0,Redskins,Bob Nussbaumer 23 yard pass from Sammy Baugh (Dick Poillon kick),7,7
2,1.0,Lions,Elmer Madarik 3 yard rush (Roy Zimmerman kick),7,14
3,2.0,Lions,Roy Zimmerman 20 yard field goal,7,17
4,2.0,Lions,Bill Dudley 4 yard rush (Roy Zimmerman kick),7,24
5,3.0,Lions,Joe Watt 75 yard pass from Clyde LeForce (Roy Zimmerman kick),7,31
6,4.0,Redskins,Dick Poillon 2 yard rush (Dick Poillon kick),14,31
7,4.0,Lions,Joe Watt 11 yard pass from Clyde LeForce (Roy Zimmerman kick),14,38
8,4.0,Redskins,Joe Duckworth 2 yard pass from Sammy Baugh (Dick Poillon kick),21,38
