,Quarter,Tm,Detail,PIT,SFO
0,1.0,Steelers,Rich Erenberg 2 yard rush (Gary Anderson kick),7,0
1,2.0,Steelers,Gary Anderson 48 yard field goal,10,0
2,2.0,49ers,Joe Montana 7 yard rush (Ray Wersching kick),10,7
3,4.0,49ers,Ray Wersching 30 yard field goal,10,10
4,4.0,49ers,Wendell Tyler 7 yard rush (Ray Wersching kick),10,17
5,4.0,Steelers,John Stallworth 6 yard pass from Mark Malone (Gary Anderson kick),17,17
6,4.0,Steelers,Gary Anderson 21 yard field goal,20,17
