,Quarter,Time,Tm,Detail,GNB,NWE
0,1.0,,Packers,Chris Jacke 27 yard field goal,3,0
1,2.0,,Packers,Sterling Sharpe 11 yard pass from Brett Favre (Chris Jacke kick),10,0
2,3.0,,Patriots,Vincent Brisby 10 yard pass from Drew Bledsoe (Matt Bahr kick),10,7
3,4.0,,Patriots,Vincent Brisby 37 yard pass from Drew Bledsoe (Matt Bahr kick),10,14
4,4.0,,Packers,Reggie Cobb 1 yard rush,16,14
5,4.0,,Patriots,Matt Bahr 33 yard field goal,16,17
