,Quarter,Tm,Detail,DET,SEA
0,1.0,Lions,Benny Ricardo 25 yard field goal,3,0
1,1.0,Lions,Benny Ricardo 44 yard field goal,6,0
2,1.0,Lions,David Hill 20 yard pass from Greg Landry (Benny Ricardo kick),13,0
3,2.0,Lions,Levi Johnson 70 yard interception return (Benny Ricardo kick),20,0
4,2.0,Seahawks,Hugh McKinnis 2 yard rush (John Leypoldt kick),20,7
5,2.0,Seahawks,Hugh McKinnis 9 yard rush (John Leypoldt kick),20,14
6,3.0,Lions,Charlie Sanders 8 yard pass from Greg Landry (Benny Ricardo kick),27,14
7,3.0,Lions,Lawrence Gaines 9 yard pass from Greg Landry (Benny Ricardo kick),34,14
8,4.0,Lions,Lem Barney 24 yard interception return (Benny Ricardo kick),41,14
