,Quarter,Tm,Detail,RAI,NYG
0,1.0,Giants,Dave Meggett 76 yard punt return (Bjorn Nittmo kick),0,7
1,1.0,Raiders,Ethan Horton 1 yard pass from Steve Beuerlein (Jeff Jaeger kick),7,7
2,2.0,Raiders,Mervyn Fernandez 30 yard pass from Steve Beuerlein (Jeff Jaeger kick),14,7
3,2.0,Giants,Ottis Anderson 1 yard rush (Bjorn Nittmo kick),14,14
4,2.0,Raiders,Jeff Jaeger 42 yard field goal,17,14
5,2.0,Giants,Bjorn Nittmo 28 yard field goal,17,17
6,3.0,Giants,Ottis Anderson 1 yard rush (Bjorn Nittmo kick),17,24
7,3.0,Giants,Bjorn Nittmo 21 yard field goal,17,27
8,4.0,Giants,Phil Simms 3 yard rush (Bjorn Nittmo kick),17,34
