,Quarter,Time,Tm,Detail,CAR,NOR
0,1.0,14:48,Saints,Tyronne Drakeford 14 yard fumble return (Doug Brien kick),0,7
1,2.0,12:52,Saints,Doug Brien 46 yard field goal,0,10
2,2.0,9:22,Panthers,Wesley Walls 5 yard pass from Steve Beuerlein (John Kasay kick),7,10
3,2.0,1:39,Panthers,John Kasay 52 yard field goal,10,10
4,3.0,6:14,Saints,Doug Brien 21 yard field goal,10,13
5,3.0,5:03,Saints,Keith Poole 67 yard pass from Billy Joe Hobert,10,19
