,Quarter,Time,Tm,Detail,BUF,SEA
0,1.0,13:32,Bills,Tyrod Taylor 3 yard rush (Dan Carpenter kick),7,0
1,1.0,12:21,Seahawks,Russell Wilson 3 yard rush (Stephen Hauschka kick),7,7
2,1.0,2:21,Bills,Justin Hunter 5 yard pass from Tyrod Taylor (Dan Carpenter kick),14,7
3,2.0,14:54,Seahawks,Jimmy Graham 17 yard pass from Russell Wilson (Stephen Hauschka kick),14,14
4,2.0,9:32,Bills,Dan Carpenter 31 yard field goal,17,14
5,2.0,4:29,Seahawks,Christine Michael 3 yard rush (Stephen Hauschka kick),17,21
6,2.0,1:00,Seahawks,Jimmy Graham 18 yard pass from Russell Wilson (Stephen Hauschka kick),17,28
7,4.0,14:26,Bills,Mike Gillislee 1 yard rush (Tyrod Taylor run),25,28
8,4.0,9:49,Seahawks,Stephen Hauschka 49 yard field goal,25,31
