,Quarter,Tm,Detail,NYJ,BAL
0,1.0,Jets,Jerome Barkum 25 yard pass from Joe Namath (Pat Leahy kick),7,0
1,2.0,Colts,Lydell Mitchell 5 yard pass from Bert Jones (Toni Linhart kick),7,7
2,2.0,Jets,John Riggins 1 yard rush (Pat Leahy kick),14,7
3,2.0,Jets,John Riggins 2 yard rush (Pat Leahy kick),21,7
4,2.0,Jets,Burgess Owens 29 yard interception return (Pat Leahy kick),28,7
5,2.0,Colts,Toni Linhart 26 yard field goal,28,10
6,3.0,Colts,Raymond Chester 9 yard pass from Bert Jones (Toni Linhart kick),28,17
7,3.0,Jets,Rich Caster 39 yard pass from Joe Namath (Pat Leahy kick),35,17
8,3.0,Colts,Lydell Mitchell 16 yard pass from Bert Jones (Toni Linhart kick),35,24
9,4.0,Jets,Pat Leahy 25 yard field goal,38,24
10,4.0,Jets,Mike Adamle 3 yard rush (Pat Leahy kick),45,24
11,4.0,Colts,Bert Jones 1 yard rush (Toni Linhart kick),45,31
12,4.0,Colts,Don McCauley 10 yard pass from Bert Jones (Toni Linhart kick),45,38
