,Quarter,Tm,Detail,BUF,BAL
0,1.0,Bills,Joe Cribbs 2 yard rush (Nick Mike-Mayer kick),7,0
1,2.0,Bills,Ron Jessie 12 yard pass from Joe Ferguson (Nick Mike-Mayer kick),14,0
2,2.0,Colts,Greg Landry 6 yard rush (Steve Mike-Mayer kick),14,7
3,2.0,Colts,Ray Butler 8 yard pass from Greg Landry (Steve Mike-Mayer kick),14,14
4,3.0,Colts,Curtis Dickey 18 yard rush (Steve Mike-Mayer kick),14,21
5,3.0,Bills,Nick Mike-Mayer 40 yard field goal,17,21
6,4.0,Colts,Curtis Dickey 3 yard rush (Steve Mike-Mayer kick),17,28
7,4.0,Bills,Jerry Butler 7 yard pass from Joe Ferguson (Nick Mike-Mayer kick),24,28
