,Quarter,Tm,Detail,CIN,PIT
0,1.0,Steelers,Gary Anderson 32 yard field goal,0,3
1,1.0,Bengals,Eddie Brown 50 yard pass from Boomer Esiason (Jim Breech kick),7,3
2,1.0,Steelers,Gary Anderson 36 yard field goal,7,6
3,2.0,Bengals,"Safety, Francis tackled Brister in end zone",9,6
4,2.0,Bengals,James Brooks 7 yard rush (Jim Breech kick),16,6
5,3.0,Steelers,Gary Anderson 29 yard field goal,16,9
6,4.0,Steelers,Gary Anderson 48 yard field goal,16,12
