,Quarter,Tm,Detail,NOR,NYG
0,1,Saints,Hokie Gajan 2 yard pass from Dave Wilson (Morten Andersen kick),7,0
1,2,Giants,Ali Haji-Sheikh 37 yard field goal,7,3
2,4,Saints,Morten Andersen 37 yard field goal,10,3
