,Quarter,Time,Tm,Detail,MIN,GNB
0,2.0,13:35,Vikings,Ryan Longwell 37 yard field goal,3,0
1,2.0,10:07,Packers,Korey Hall 1 yard pass from Aaron Rodgers (Mason Crosby kick),3,7
2,2.0,3:21,Packers,Mason Crosby 42 yard field goal,3,10
3,3.0,10:52,Vikings,Ryan Longwell 27 yard field goal,6,10
4,3.0,6:35,Packers,Will Blackmon 76 yard punt return (Mason Crosby kick),6,17
5,4.0,14:12,Vikings,Sidney Rice 23 yard pass from Tarvaris Jackson (pass failed),12,17
6,4.0,6:03,Packers,Aaron Rodgers 1 yard rush (Mason Crosby kick),12,24
7,4.0,2:39,Vikings,Adrian Peterson 3 yard rush (Ryan Longwell kick),19,24
