,Quarter,Tm,Detail,CLE,PIT
0,2.0,Browns,Reggie Rucker 14 yard pass from Brian Sipe (Don Cockroft kick),7,0
1,2.0,Browns,Oscar Roan 17 yard pass from Brian Sipe (Don Cockroft kick),14,0
2,3.0,Steelers,John Stallworth 14 yard pass from Terry Bradshaw (Roy Gerela kick),14,7
3,3.0,Steelers,Roy Gerela 47 yard field goal,14,10
4,3.0,Steelers,Franco Harris 2 yard rush (Roy Gerela kick),14,17
5,4.0,Steelers,John Stallworth 5 yard pass from Terry Bradshaw (Roy Gerela kick),14,24
6,4.0,Steelers,Terry Bradshaw 7 yard rush (Roy Gerela kick),14,31
