,Quarter,Time,Tm,Detail,SDG,STL
0,1.0,12:28,Rams,Jeff Wilkins 51 yard field goal,0,3
1,1.0,6:38,Rams,Isaac Bruce 9 yard pass from Kurt Warner (Jeff Wilkins kick),0,10
2,1.0,5:44,Rams,Marshall Faulk 13 yard pass from Kurt Warner (Jeff Wilkins kick),0,17
3,1.0,0:40,Chargers,John Carney 37 yard field goal,3,17
4,2.0,11:59,Rams,Jeff Wilkins 21 yard field goal,3,20
5,2.0,6:35,Chargers,Jermaine Fazande 2 yard rush (John Carney kick),10,20
6,2.0,2:41,Rams,Torry Holt 7 yard pass from Kurt Warner (Jeff Wilkins kick),10,27
7,2.0,0:00,Rams,Jeff Wilkins 31 yard field goal,10,30
8,3.0,12:00,Chargers,Fred McCrary 3 yard pass from Jim Harbaugh (John Carney kick),17,30
9,3.0,10:57,Rams,Isaac Bruce 12 yard pass from Kurt Warner (Jeff Wilkins kick),17,37
10,3.0,8:15,Rams,Jeff Wilkins 33 yard field goal,17,40
11,3.0,4:00,Rams,Marshall Faulk 48 yard pass from Trent Green (Jeff Wilkins kick),17,47
12,4.0,11:36,Rams,Jeff Wilkins 20 yard field goal,17,50
13,4.0,7:42,Chargers,Terrell Fletcher 6 yard rush (John Carney kick),24,50
14,4.0,3:19,Rams,Justin Watson 12 yard rush (Jeff Wilkins kick),24,57
15,4.0,1:52,Chargers,Trevor Gaylor 62 yard pass from Jim Harbaugh (John Carney kick),31,57
