,Quarter,Time,Tm,Detail,ATL,SFO
0,1.0,,49ers,Jerry Rice 18 yard pass from Steve Young (Doug Brien kick),0,7
1,1.0,,49ers,Doug Brien 27 yard field goal,0,10
2,1.0,,49ers,Derek Loville 1 yard rush (Doug Brien kick),0,17
3,2.0,,49ers,Brent Jones 2 yard pass from Steve Young (Doug Brien kick),0,24
4,2.0,,Falcons,Morten Andersen 26 yard field goal,3,24
5,3.0,,Falcons,Terance Mathis 23 yard pass from Jeff George (Morten Andersen kick),10,24
6,3.0,,49ers,Tim McDonald 13 yard interception return (Doug Brien kick),10,31
7,4.0,,49ers,Doug Brien 45 yard field goal,10,34
8,4.0,,49ers,Jerry Rice 29 yard pass from Steve Young (Doug Brien kick),10,41
