,Quarter,Tm,Detail,RAM,BAL
0,1.0,Rams,Bruce Gossett 29 yard field goal,3,0
1,2.0,Colts,Tom Mitchell 13 yard pass from Johnny Unitas (Lou Michaels kick),3,7
2,2.0,Rams,Billy Truax 4 yard pass from Roman Gabriel (Bruce Gossett kick),10,7
3,2.0,Colts,Lou Michaels 15 yard field goal,10,10
4,3.0,Colts,Jimmy Orr 41 yard pass from Johnny Unitas (Lou Michaels kick),10,17
5,3.0,Rams,Willie Ellison 14 yard pass from Roman Gabriel (Bruce Gossett kick),17,17
6,3.0,Rams,Bruce Gossett 15 yard field goal,20,17
7,4.0,Rams,Wendell Tucker 16 yard pass from Roman Gabriel (Bruce Gossett kick),27,17
8,4.0,Colts,Lou Michaels 41 yard field goal,27,20
