,Quarter,Time,Tm,Detail,BUF,NYJ
0,1.0,6:10,Bills,Eric Moulds 3 yard pass from Rob Johnson (Steve Christie kick),7,0
1,1.0,5:51,Jets,Kevin Williams 97 yard kickoff return (John Hall kick),7,7
2,2.0,7:41,Jets,Curtis Martin 5 yard rush (John Hall kick),7,14
3,2.0,1:07,Bills,Jeremy McDaniel 74 yard pass from Rob Johnson (Steve Christie kick),14,14
4,2.0,0:00,Jets,Marcus Coleman 45 yard pass from Vinny Testaverde (John Hall kick),14,21
5,3.0,7:15,Jets,John Hall 51 yard field goal,14,24
6,4.0,1:56,Jets,John Hall 27 yard field goal,14,27
