,Quarter,Tm,Detail,KAN,RAC
0,1.0,Legion,Hank Gillo 1 yard rush (Hank Gillo kick),0,7
1,2.0,Legion,Hank Gillo 30 yard field goal,0,10
2,4.0,Blues,Roy Andrews 20 yard field goal,3,10
3,4.0,Legion,Hank Gillo 30 yard field goal,3,13
