,Quarter,Time,Tm,Detail,ARI,MIA
0,1.0,12:02,Dolphins,Bill Gramatica 30 yard field goal,0,3
1,1.0,9:02,Cardinals,Neil Rackers 29 yard field goal,3,3
2,1.0,0:58,Dolphins,Rob Konrad 20 yard pass from Jay Fiedler (Bill Gramatica kick failed),3,9
3,2.0,8:07,Dolphins,Bill Gramatica 29 yard field goal,3,12
4,3.0,3:18,Cardinals,Duane Starks 41 yard interception return (Neil Rackers kick),10,12
5,4.0,9:44,Cardinals,Emmitt Smith 5 yard rush (Neil Rackers kick),17,12
6,4.0,7:53,Dolphins,Bill Gramatica 28 yard field goal,17,15
7,4.0,1:56,Dolphins,Sammy Morris 1 yard rush (Randy McMichael pass from A.J. Feeley),17,23
8,4.0,0:19,Cardinals,Larry Fitzgerald 2 yard pass from Josh McCown (Neil Rackers kick),24,23
