,Quarter,Tm,Detail,CLE,BAL
0,1.0,Browns,Lou Groza 16 yard field goal,3,0
1,1.0,Colts,Steve Myhra 23 yard field goal,3,3
2,2.0,Browns,Jim Brown 70 yard rush (Lou Groza kick),10,3
3,2.0,Colts,Lenny Moore 3 yard pass from Johnny Unitas (Steve Myhra kick),10,10
4,2.0,Browns,Jim Brown 17 yard rush (Lou Groza kick),17,10
5,3.0,Browns,Jim Brown 3 yard rush (Lou Groza kick),24,10
6,3.0,Colts,Jerry Richardson 8 yard pass from Johnny Unitas (Steve Myhra kick),24,17
7,3.0,Browns,Jim Brown 1 yard rush (Lou Groza kick),31,17
8,4.0,Colts,Raymond Berry 10 yard pass from Johnny Unitas (Steve Myhra kick),31,24
9,4.0,Browns,Jim Brown 1 yard rush (Lou Groza kick),38,24
10,4.0,Colts,Jim Mutscheller 5 yard pass from Johnny Unitas (Steve Myhra kick),38,31
