,Quarter,Time,Tm,Detail,NOR,STL
0,1.0,12:07,Saints,Joe Johnson 5 yard defensive fumble return (Doug Brien kick),7,0
1,1.0,12:07,Saints,Andre Hastings 20 yard pass from Lamar Smith (Doug Brien kick),14,0
2,2.0,12:07,Saints,Doug Brien 36 yard field goal,17,0
3,2.0,5:02,Saints,Lamar Smith 35 yard pass from Billy Joe Hobert (Doug Brien kick),24,0
4,2.0,1:03,Rams,Jerald Moore unknown yard rush (Jeff Wilkins kick),24,7
5,3.0,1:03,Rams,Eddie Kennison 15 yard pass from Tony Banks (Jeff Wilkins kick),24,14
6,4.0,1:30,Rams,Jeff Wilkins 34 yard field goal,24,17
