,Quarter,Time,Tm,Detail,JAX,TEN
0,1.0,7:37,Jaguars,Mike Hollis 23 yard field goal,3,0
1,1.0,4:11,Titans,Frank Wycheck 4 yard pass from Steve McNair (Al Del Greco kick),3,7
2,2.0,12:41,Titans,Derrick Mason 22 yard pass from Steve McNair (Al Del Greco kick),3,14
3,2.0,6:44,Titans,Al Del Greco 26 yard field goal,3,17
4,3.0,8:48,Titans,Eddie George 19 yard rush (Al Del Greco kick),3,24
5,4.0,13:19,Jaguars,Mike Hollis 45 yard field goal,6,24
6,4.0,3:37,Titans,Al Del Greco 28 yard field goal,6,27
7,4.0,0:53,Jaguars,Anthony Johnson 2 yard rush (Mike Hollis kick),13,27
