,Quarter,Tm,Detail,RAM,NOR
0,1.0,Saints,Dalton Hilliard 1 yard rush (Morten Andersen kick),0,7
1,3.0,Rams,Jerry Gray 59 yard interception return (Tony Zendejas kick),7,7
2,3.0,Saints,Craig Heyward 1 yard rush (Morten Andersen kick),7,14
3,4.0,Saints,Craig Heyward 1 yard rush (Morten Andersen kick),7,21
4,4.0,Saints,Morten Andersen 42 yard field goal,7,24
