,Quarter,Tm,Detail,ATL,SFO
0,1.0,49ers,O.J. Simpson 13 yard rush (Ray Wersching kick),0,7
1,1.0,Falcons,Rick Byas 2 yard blocked punt return (Tim Mazzetti kick),7,7
2,2.0,49ers,Scott Bull 15 yard rush (Ray Wersching kick),7,14
3,4.0,49ers,Ray Wersching 35 yard field goal,7,17
4,4.0,Falcons,Tim Mazzetti 21 yard field goal,10,17
5,4.0,Falcons,Billy Ryckman 59 yard pass from Steve Bartkowski (Tim Mazzetti kick),17,17
6,4.0,Falcons,Tim Mazzetti 29 yard field goal,20,17
