,Quarter,Tm,Detail,CIN,PIT
0,1.0,Steelers,Ernie Mills 3 yard pass from Neil O'Donnell (Gary Anderson kick),0,7
1,2.0,Steelers,Gary Anderson 33 yard field goal,0,10
2,2.0,Bengals,Carl Pickens 15 yard pass from David Klingler (Doug Pelfrey kick),7,10
3,2.0,Steelers,Yancey Thigpen 18 yard pass from Neil O'Donnell (Gary Anderson kick),7,17
4,3.0,Steelers,Gary Anderson 34 yard field goal,7,20
5,3.0,Steelers,Dwight Stone 9 yard pass from Neil O'Donnell (Gary Anderson kick),7,27
6,4.0,Steelers,Dwight Stone 38 yard rush (Gary Anderson kick),7,34
