,Quarter,Time,Tm,Detail,PHI,BAL
0,1.0,11:38,Ravens,Kamar Aiken 5 yard pass from Joe Flacco (Justin Tucker kick),0,7
1,1.0,4:42,Eagles,Caleb Sturgis 45 yard field goal,3,7
2,1.0,1:55,Ravens,Justin Tucker 53 yard field goal,3,10
3,2.0,14:38,Eagles,Ryan Mathews 4 yard rush (Ryan Mathews run),11,10
4,2.0,9:21,Ravens,Justin Tucker 47 yard field goal,11,13
5,2.0,1:39,Eagles,Caleb Sturgis 34 yard field goal,14,13
6,2.0,0:09,Ravens,Steve Smith 34 yard pass from Joe Flacco (Justin Tucker kick),14,20
7,4.0,14:48,Eagles,Caleb Sturgis 27 yard field goal,17,20
8,4.0,11:06,Ravens,Kenneth Dixon 16 yard rush (Justin Tucker kick),17,27
9,4.0,2:22,Eagles,Caleb Sturgis 29 yard field goal,20,27
10,4.0,0:04,Eagles,Carson Wentz 4 yard rush (pass failed),26,27
