,Quarter,Tm,Detail,CIN,CLE
0,1.0,Browns,Matt Bahr 29 yard field goal,0,3
1,2.0,Browns,Kevin Mack 2 yard rush (Matt Bahr kick),0,10
2,2.0,Bengals,Jim Breech 30 yard field goal,3,10
3,3.0,Browns,Clarence Weathers 72 yard pass from Gary Danielson (Matt Bahr kick),3,17
4,3.0,Bengals,Jim Breech 29 yard field goal,6,17
5,3.0,Browns,Kevin Mack 35 yard rush (Matt Bahr kick),6,24
