,Quarter,Tm,Detail,RAM,NOR
0,2.0,Rams,Tom Dempsey 49 yard field goal,3,0
1,2.0,Rams,Lawrence McCutcheon 1 yard rush (Tom Dempsey kick),10,0
2,3.0,Saints,Tony Galbreath 28 yard pass from Bobby Douglass (Rich Szaro kick),10,7
3,4.0,Saints,Rich Szaro 22 yard field goal,10,10
4,4.0,Rams,Harold Jackson 40 yard pass from Pat Haden,16,10
