,Quarter,Tm,Detail,SFO,ATL
0,1.0,Falcons,Jimmy Burson 73 yard interception return,0,6
1,1.0,49ers,Ken Willard 69 yard rush (Tommy Davis kick),7,6
2,1.0,Falcons,Bob Etter 33 yard field goal,7,9
3,2.0,Falcons,Bob Etter 39 yard field goal,7,12
4,2.0,49ers,Ken Willard 1 yard rush (Tommy Davis kick),14,12
