,Quarter,Tm,Detail,NWE,CIN
0,1.0,Bengals,Jim Breech 46 yard field goal,0,3
1,1.0,Bengals,Eddie Brown 42 yard pass from Boomer Esiason (Jim Breech kick),0,10
2,1.0,Bengals,Rodney Holman 4 yard pass from Lee Johnson (Jim Breech kick),0,17
3,2.0,Bengals,Harold Green 3 yard rush (Jim Breech kick),0,24
4,2.0,Bengals,James Brooks 6 yard rush (Jim Breech kick),0,31
5,2.0,Patriots,Marv Cook 7 yard pass from Marc Wilson (Jason Staurovsky kick),7,31
6,3.0,Bengals,Jim Breech 23 yard field goal,7,34
7,4.0,Bengals,Rodney Holman 3 yard pass from Boomer Esiason (Jim Breech kick),7,41
