,Quarter,Tm,Detail,MIN,NYJ
0,1,Jets,Richard Todd 3 yard rush (Rich Szaro kick),0,7
1,3,Jets,Shafer Suggs 32 yard interception return (Rich Szaro kick),0,14
2,4,Vikings,Chuck Foreman 1 yard rush (Rick Danmeier kick),7,14
