,Quarter,Tm,Detail,NYG,PIT
0,2.0,Giants,"Safety, Hartley tackled in end zone by Roberts",2,0
1,3.0,Steelers,Jerry Shipkey 1 yard rush (Joe Geri kick),2,7
2,4.0,Giants,"Safety, punt snapped out of end zone",4,7
3,4.0,Giants,Tom Landry 37 yard fumble return (Ray Poole kick),11,7
4,4.0,Giants,Al DeRogatis fumble recovery in end zone (Ray Poole kick),18,7
