,Quarter,Tm,Detail,DET,NWE
0,2.0,Patriots,Sam Cunningham 1 yard rush (John Smith kick),0,7
1,2.0,Patriots,Don Calhoun 2 yard rush (John Smith kick),0,14
2,2.0,Lions,Benny Ricardo 26 yard field goal,3,14
3,3.0,Lions,Scott Hunter 1 yard rush (Benny Ricardo kick),10,14
4,3.0,Lions,William Gay defensive fumble recovery in end zone (Benny Ricardo kick),17,14
5,4.0,Patriots,Don Calhoun 6 yard pass from Tom Owen (John Smith kick),17,21
6,4.0,Patriots,John Smith 29 yard field goal,17,24
