,Quarter,Tm,Detail,BKN,WAS
0,1.0,Redskins,Ed Justice 41 yard pass from Sammy Baugh (Sandy Sanford kick),0,7
1,2.0,Redskins,Bo Russell 25 yard field goal,0,10
2,2.0,Redskins,Frank Filchock 6 yard rush (Bo Russell kick),0,17
3,3.0,Dodgers,Mike Gussie 9 yard pass from Ace Parker (Ace Parker kick),7,17
4,3.0,Dodgers,Ralph Kercheval 30 yard field goal,10,17
5,4.0,Redskins,Dick Todd 5 yard pass from Frank Filchock (Bo Russell kick),10,24
6,4.0,Dodgers,Banks McFadden 17 yard pass from Ace Parker (Ace Parker kick),17,24
