,Quarter,Tm,Detail,DET,RAM
0,1.0,Lions,Eddie Murray 51 yard field goal,3,0
1,2.0,Rams,Eric Dickerson 8 yard rush (Chuck Nelson kick),3,7
2,2.0,Rams,Eric Dickerson 1 yard rush (Chuck Nelson kick),3,14
3,2.0,Lions,Ulysses Norris 5 yard pass from Eric Hipple (Eddie Murray kick),10,14
4,4.0,Rams,Eric Dickerson 4 yard rush (Chuck Nelson kick),10,21
