,Quarter,Tm,Detail,PIT,WAS
0,1.0,Redskins,Paul Dekker 34 yard pass from Eddie LeBaron (Bill Dudley kick),0,7
1,2.0,Redskins,Bill Dudley 39 yard field goal,0,10
2,3.0,Redskins,Bill Dudley 20 yard field goal,0,13
3,4.0,Steelers,Lynn Chandnois 23 yard rush (Nick Bolkovac kick),7,13
4,4.0,Steelers,Jack Butler 5 yard interception return (Nick Bolkovac kick),14,13
