,Quarter,Tm,Detail,GNB,CHI
0,2.0,Packers,Johnny Blood 43 yard pass from Arnie Herber (Bob Monnett kick),7,0
1,4.0,Bears,Luke Johnsos 24 yard pass from Red Grange (Jack Manders kick),7,7
2,4.0,Bears,Jack Manders 30 yard field goal,7,10
