,Quarter,Tm,Detail,DET,CHI
0,1,Lions,Rodney Peete 1 yard rush (Eddie Murray kick),7,0
1,2,Bears,Brad Muster 6 yard rush (Kevin Butler kick),7,7
2,2,Lions,Eddie Murray 34 yard field goal,10,7
3,2,Bears,Jim Harbaugh 2 yard rush (Kevin Butler kick),10,14
4,4,Lions,Richard Johnson 22 yard pass from Bob Gagliano (Eddie Murray kick),17,14
5,4,Bears,Kevin Butler 19 yard field goal,17,17
6,OT,Bears,Neal Anderson 50 yard pass from Jim Harbaugh,17,23
