,Quarter,Time,Tm,Detail,KAN,SEA
0,1.0,,Chiefs,Lin Elliott 32 yard field goal,3,0
1,2.0,,Chiefs,Lin Elliott 23 yard field goal,6,0
2,4.0,,Seahawks,Steve Smith 2 yard rush (John Kasay kick),6,7
3,4.0,,Chiefs,Lin Elliott 38 yard field goal,9,7
4,4.0,,Seahawks,John Kasay 32 yard field goal,9,10
