,Quarter,Tm,Detail,MIA,NYJ
0,1.0,Jets,Johnny Mitchell 17 yard pass from Boomer Esiason (Cary Blanchard kick),0,7
1,1.0,Jets,Cary Blanchard 37 yard field goal,0,10
2,2.0,Dolphins,Pete Stoyanovich 48 yard field goal,3,10
3,2.0,Jets,Johnny Mitchell 2 yard pass from Boomer Esiason (Cary Blanchard kick),3,17
4,3.0,Jets,Cary Blanchard 43 yard field goal,3,20
5,3.0,Dolphins,Irving Fryar 65 yard pass from Scott Mitchell (Pete Stoyanovich kick),10,20
6,4.0,Jets,Chris Burkett 12 yard pass from Boomer Esiason (Cary Blanchard kick),10,27
