,Quarter,Time,Tm,Detail,MIA,JAX
0,1.0,9:21,Jaguars,Allen Robinson 3 yard pass from Blake Bortles (Jason Myers kick),0,7
1,1.0,7:16,Dolphins,Andrew Franks 48 yard field goal,3,7
2,1.0,3:20,Jaguars,Jason Myers 27 yard field goal,3,10
3,2.0,10:08,Dolphins,Andrew Franks 41 yard field goal,6,10
4,2.0,5:03,Jaguars,Allen Robinson 46 yard pass from Blake Bortles (Jason Myers kick),6,17
5,2.0,1:48,Dolphins,Damien Williams 10 yard pass from Ryan Tannehill (Andrew Franks kick),13,17
6,2.0,0:00,Jaguars,Jason Myers 58 yard field goal,13,20
7,3.0,10:28,Dolphins,Jake Stoneburner 5 yard pass from Ryan Tannehill (Andrew Franks kick),20,20
8,4.0,0:40,Jaguars,Jason Myers 28 yard field goal,20,23
