,Quarter,Tm,Detail,OAK,DET
0,2.0,Lions,Eddie Murray 36 yard field goal,0,3
1,4.0,Lions,Eddie Murray 39 yard field goal,0,6
2,4.0,Lions,Billy Sims 3 yard rush (Eddie Murray kick),0,13
3,4.0,Lions,Eddie Murray 39 yard field goal,0,16
