,Quarter,Tm,Detail,BAL,ATL
0,1.0,Colts,Tom Matte 1 yard rush (Lou Michaels kick),7,0
1,1.0,Falcons,Junior Coffey 6 yard pass from Bob Berry (Bob Etter kick),7,7
2,2.0,Falcons,Junior Coffey 3 yard rush (Bob Etter kick),7,14
3,2.0,Colts,Jim Duncan 92 yard kickoff return (Lou Michaels kick),14,14
4,4.0,Colts,John Mackey 6 yard pass from Johnny Unitas (Lou Michaels kick),21,14
