,Quarter,Tm,Detail,TAM,GNB
0,1.0,Packers,Phil Epps 53 yard pass from Randy Wright (Al Del Greco kick),0,7
1,1.0,Packers,James Lofton 12 yard pass from Randy Wright (Al Del Greco kick),0,14
2,2.0,Packers,Phil Epps 5 yard pass from Randy Wright (Al Del Greco kick),0,21
3,3.0,Packers,Al Del Greco 27 yard field goal,0,24
4,3.0,Packers,Gary Ellerson 1 yard rush (Al Del Greco kick),0,31
5,4.0,Buccaneers,Gerald Carter 10 yard pass from Steve Young (Donald Igwebuike kick),7,31
