,Quarter,Time,Tm,Detail,PHI,NYJ
0,1.0,,Jets,Keyshawn Johnson 46 yard pass from Glenn Foley (Nick Lowery kick),0,7
1,2.0,,Jets,Nick Lowery 27 yard field goal,0,10
2,3.0,,Eagles,Irving Fryar 40 yard pass from Ty Detmer (Gary Anderson kick),7,10
3,3.0,,Jets,Aaron Glenn 13 yard interception return (Nick Lowery kick),7,17
4,3.0,,Jets,Nick Lowery 29 yard field goal,7,20
5,4.0,,Eagles,Chris Jones 2 yard pass from Ty Detmer (Gary Anderson kick),14,20
6,4.0,,Eagles,Irving Fryar 14 yard pass from Ty Detmer (Gary Anderson kick),21,20
