,Quarter,Tm,Detail,CHI,GNB
0,1.0,Packers,Al Del Greco 22 yard field goal,0,3
1,1.0,Bears,Kevin Butler 34 yard field goal,3,3
2,2.0,Bears,Walter Payton 2 yard rush (Kevin Butler kick),10,3
3,2.0,Packers,Al Del Greco 46 yard field goal,10,6
4,2.0,Packers,Al Del Greco 45 yard field goal,10,9
5,3.0,Packers,Al Del Greco 50 yard field goal,10,12
6,4.0,Bears,Kevin Butler 52 yard field goal,13,12
7,4.0,Bears,"Safety, McMichael tackled Wright in end zone",15,12
8,4.0,Bears,Keith Ortego 42 yard pass from Steve Fuller (Kevin Butler kick),22,12
9,4.0,Bears,Kevin Butler 27 yard field goal,25,12
