,Quarter,Tm,Detail,CRD,RAM
0,1.0,Rams,Bob Shaw 71 yard pass from Bob Waterfield (Bob Waterfield kick),0,7
1,1.0,Rams,Bob Waterfield 43 yard field goal,0,10
2,1.0,Cardinals,Pat Harder 13 yard field goal,3,10
3,2.0,Rams,Bob Waterfield 1 yard rush (Bob Waterfield kick),3,17
4,3.0,Rams,Vitamin Smith 51 yard punt return (Bob Waterfield kick),3,24
5,3.0,Cardinals,Charley Trippi 6 yard rush (Pat Harder kick),10,24
6,4.0,Cardinals,Bill Blackburn 12 yard interception return (Pat Harder kick),17,24
7,4.0,Rams,Bob Waterfield 16 yard field goal,17,27
8,4.0,Cardinals,Babe Dimancheff 50 yard pass from Paul Christman (Pat Harder kick),24,27
9,4.0,Cardinals,Billy Dewell 24 yard pass from Paul Christman (Pat Harder kick),31,27
