,Quarter,Time,Tm,Detail,DEN,PHI
0,1.0,,Eagles,Reggie Johnson 1 yard pass from Rodney Peete (Gary Anderson kick),0,7
1,1.0,,Broncos,Anthony Miller 46 yard pass from John Elway (Jason Elam kick),7,7
2,1.0,,Eagles,Ricky Watters 5 yard rush (Gary Anderson kick),7,14
3,2.0,,Broncos,Jason Elam 44 yard field goal,10,14
4,2.0,,Eagles,Rodney Peete 2 yard rush (Gary Anderson kick),10,21
5,3.0,,Broncos,Jason Elam 48 yard field goal,13,21
6,4.0,,Eagles,Ricky Watters 1 yard rush (Gary Anderson kick),13,28
7,4.0,,Eagles,Gary Anderson 39 yard field goal,13,31
