,Quarter,Tm,Detail,CIN,MIA
0,1.0,Dolphins,Mark Duper 43 yard pass from Dan Marino (Pete Stoyanovich kick),0,7
1,2.0,Dolphins,Pete Stoyanovich 50 yard field goal,0,10
2,2.0,Bengals,Jim Breech 27 yard field goal,3,10
3,2.0,Dolphins,Mark Clayton 18 yard pass from Dan Marino (Pete Stoyanovich kick),3,17
4,2.0,Bengals,Jim Breech 50 yard field goal,6,17
5,3.0,Dolphins,Pete Stoyanovich 22 yard field goal,6,20
6,4.0,Bengals,Ickey Woods 1 yard rush (Jim Breech kick),13,20
7,4.0,Dolphins,Mark Higgs 3 yard rush (Pete Stoyanovich kick),13,27
8,4.0,Dolphins,Mark Clayton 16 yard pass from Dan Marino (Pete Stoyanovich kick),13,34
9,4.0,Dolphins,Pete Stoyanovich 36 yard field goal,13,37
