,Quarter,Time,Tm,Detail,NWE,DET
0,1.0,,Patriots,Matt Bahr 20 yard field goal,3,0
1,2.0,,Patriots,Marion Butts 5 yard rush (Matt Bahr kick),10,0
2,2.0,,Lions,Barry Sanders 35 yard rush (Jason Hanson kick),10,7
3,2.0,,Patriots,Ben Coates 7 yard pass from Drew Bledsoe (Matt Bahr kick),17,7
4,3.0,,Patriots,Matt Bahr 28 yard field goal,20,7
5,3.0,,Lions,Barry Sanders 39 yard rush (Jason Hanson kick),20,14
6,4.0,,Patriots,Matt Bahr 21 yard field goal,23,14
7,4.0,,Lions,Jason Hanson 27 yard field goal,23,17
