,Quarter,Tm,Detail,OAK,SDG
0,2.0,Chargers,Rickey Young 4 yard rush,0,6
1,2.0,Raiders,Mike Rae 7 yard rush (Errol Mann kick),7,6
2,3.0,Chargers,Rolf Benirschke 22 yard field goal,7,9
3,4.0,Chargers,Rolf Benirschke 46 yard field goal,7,12
