,Quarter,Time,Tm,Detail,SDG,KAN
0,1,,Chargers,John Carney 20 yard field goal,3,0
1,2,,Chiefs,Lin Elliott 20 yard field goal,3,3
2,2,,Chargers,Natrone Means 2 yard rush (John Carney kick),10,3
3,2,,Chiefs,Lin Elliott 28 yard field goal,10,6
4,2,,Chiefs,Kimble Anders 1 yard pass from Steve Bono (Lin Elliott kick),10,13
5,2,,Chargers,John Carney 36 yard field goal,13,13
6,4,,Chiefs,Lin Elliott 49 yard field goal,13,16
7,4,,Chargers,Shannon Mitchell 4 yard pass from Stan Humphries (John Carney kick),20,16
8,4,,Chargers,John Carney 29 yard field goal,23,16
9,4,,Chiefs,Derrick Walker 18 yard pass from Steve Bono (Lin Elliott kick),23,23
10,OT,,Chiefs,Tamarick Vanover 86 yard punt return,23,29
