,Quarter,Time,Tm,Detail,ATL,GNB
0,1.0,10:05,Packers,Aaron Jones 6 yard pass from Aaron Rodgers (Mason Crosby kick),0,7
1,2.0,7:41,Falcons,Elliott Fry 23 yard field goal,3,7
2,2.0,2:34,Packers,Robert Tonyan 19 yard pass from Aaron Rodgers (Mason Crosby kick failed),3,13
3,2.0,0:50,Packers,Robert Tonyan 8 yard pass from Aaron Rodgers (Mason Crosby kick),3,20
4,3.0,7:25,Falcons,Todd Gurley 5 yard rush (Elliott Fry kick failed),9,20
5,3.0,5:24,Packers,Robert Tonyan 21 yard pass from Aaron Rodgers (Mason Crosby kick),9,27
6,4.0,12:58,Falcons,Todd Gurley 3 yard rush (Elliott Fry kick),16,27
7,4.0,6:00,Packers,Mason Crosby 48 yard field goal,16,30
