,Quarter,Tm,Detail,BUF,NYJ
0,1.0,Bills,Mark Brammer 6 yard pass from Joe Ferguson (Nick Mike-Mayer kick),7,0
1,1.0,Bills,Nick Mike-Mayer 30 yard field goal,10,0
2,2.0,Bills,Mark Brammer 3 yard pass from Joe Ferguson (Nick Mike-Mayer kick),17,0
3,2.0,Jets,Richard Todd 1 yard rush (Pat Leahy kick),17,7
4,2.0,Jets,Pat Leahy 33 yard field goal,17,10
5,3.0,Bills,Roosevelt Leaks 1 yard rush (Nick Mike-Mayer kick),24,10
6,4.0,Jets,Derrick Gaffney 9 yard pass from Richard Todd (Pat Leahy kick),24,17
7,4.0,Jets,Scott Dierking 2 yard rush (Pat Leahy kick),24,24
8,4.0,Bills,Frank Lewis 31 yard pass from Joe Ferguson (Nick Mike-Mayer kick),31,24
