,Quarter,Tm,Detail,IND,WAS
0,2.0,Redskins,Darrell Green 79 yard defensive fumble return (Chip Lohmiller kick),0,7
1,2.0,Redskins,Mark Rypien 1 yard rush (Chip Lohmiller kick),0,14
2,2.0,Colts,Reggie Langhorne 72 yard pass from Jeff George (Dean Biasucci kick),7,14
3,2.0,Colts,Dean Biasucci 22 yard field goal,10,14
4,3.0,Redskins,Mark Rypien 1 yard rush,10,20
5,4.0,Redskins,Chip Lohmiller 24 yard field goal,10,23
6,4.0,Redskins,Brian Mitchell 2 yard rush (Chip Lohmiller kick),10,30
7,4.0,Colts,Kerry Cash 9 yard pass from Jeff George (Dean Biasucci kick),17,30
8,4.0,Colts,Clarence Verdin 1 yard pass from Jeff George (Dean Biasucci kick),24,30
