,Quarter,Tm,Detail,CRD,PIT
0,1.0,Cardinals,Bill Daddio 38 yard field goal,3,0
1,1.0,Steelers,Dick Riffle 44 yard rush (Jack Sanders kick),3,7
2,2.0,Steelers,Armand Niccolai 22 yard field goal,3,10
3,4.0,Steelers,Armand Niccolai 30 yard field goal,3,13
4,4.0,Steelers,George Gonda 27 yard rush,3,19
