,Quarter,Tm,Detail,ATL,PIT
0,1.0,Steelers,Rocky Bleier 10 yard rush (Roy Gerela kick),0,7
1,1.0,Steelers,Terry Bradshaw 1 yard rush (Roy Gerela kick),0,14
2,2.0,Falcons,Al Dodd 9 yard pass from Bob Lee (Nick Mike-Mayer kick),7,14
3,2.0,Falcons,Ken Burrow 24 yard pass from Bob Lee (Nick Mike-Mayer kick),14,14
4,3.0,Steelers,Roy Gerela 33 yard field goal,14,17
5,4.0,Steelers,Franco Harris 7 yard rush (Roy Gerela kick),14,24
6,4.0,Falcons,Nick Mike-Mayer 32 yard field goal,17,24
