,Quarter,Time,Tm,Detail,MIN,GNB
0,1.0,,Packers,Chris Jacke 25 yard field goal,0,3
1,2.0,,Packers,Sterling Sharpe 14 yard pass from Brett Favre (Chris Jacke kick),0,10
2,2.0,,Packers,Chris Jacke 39 yard field goal,0,13
3,3.0,,Vikings,Fuad Reveiz 28 yard field goal,3,13
4,4.0,13:35,Vikings,James Harris 17 yard defensive fumble return (Fuad Reveiz kick),10,13
5,4.0,13:35,Packers,Chris Jacke 49 yard field goal,10,16
