,Quarter,Time,Tm,Detail,CLE,TEN
0,1.0,10:37,Titans,Rishard Matthews 11 yard pass from Marcus Mariota (Ryan Succop kick),0,7
1,1.0,8:47,Browns,Cody Parkey 45 yard field goal,3,7
2,1.0,2:08,Browns,Cody Parkey 37 yard field goal,6,7
3,2.0,11:51,Titans,Kendall Wright 48 yard pass from Marcus Mariota (Ryan Succop kick),6,14
4,2.0,0:40,Browns,Terrelle Pryor 7 yard pass from Cody Kessler (Cody Parkey kick),13,14
5,3.0,9:33,Titans,DeMarco Murray 3 yard rush (Ryan Succop kick),13,21
6,4.0,6:43,Titans,Anthony Fasano 15 yard pass from Marcus Mariota (Ryan Succop kick),13,28
7,4.0,2:07,Browns,Terrelle Pryor 5 yard pass from Cody Kessler (pass failed),19,28
8,4.0,0:27,Browns,Duke Johnson 1 yard rush (Cody Parkey kick),26,28
