,Quarter,Tm,Detail,BAL,GNB
0,1.0,Packers,Paul Hornung 23 yard field goal,0,3
1,1.0,Colts,Lenny Moore 26 yard rush (Steve Myhra kick),7,3
2,2.0,Colts,Raymond Berry 7 yard pass from Johnny Unitas (Steve Myhra kick),14,3
3,2.0,Colts,Raymond Berry 10 yard pass from Johnny Unitas (Steve Myhra kick),21,3
4,3.0,Packers,Jim Taylor 2 yard rush (Paul Hornung kick),21,10
5,3.0,Packers,Jim Taylor 20 yard pass from Bart Starr (Paul Hornung kick),21,17
6,4.0,Colts,Jim Mutscheller 24 yard pass from Johnny Unitas (Steve Myhra kick),28,17
7,4.0,Packers,Jim Taylor 3 yard rush (Paul Hornung kick),28,24
