,Quarter,Time,Tm,Detail,JAX,PIT
0,1.0,,Steelers,Dewayne Washington 52 yard interception return (Norm Johnson kick),0,7
1,2.0,,Steelers,Norm Johnson 38 yard field goal,0,10
2,2.0,0:08,Steelers,Norm Johnson 29 yard field goal,0,13
3,3.0,0:08,Jaguars,Fred Taylor 2 yard rush (Mike Hollis kick),7,13
4,3.0,0:08,Steelers,Norm Johnson 41 yard field goal,7,16
5,4.0,0:08,Steelers,Mark Bruener 9 yard pass from Kordell Stewart (Norm Johnson kick),7,23
6,4.0,0:08,Jaguars,Jimmy Smith 33 yard pass from Mark Brunell (Keenan McCardell pass from Mark Brunell),15,23
7,4.0,0:50,Steelers,Dewayne Washington 78 yard interception return (Norm Johnson kick),15,30
